,Ref_x,Subject,Locale_processed
46980,5183816,SAS COENMANS RECYCLAGE IN,FRA
46981,5183818,SAS CHRIS NET,FRA
46982,5183819,SAS BRIANCONDIS,FRA
46983,5183820,SAS BEUZELIN,FRA
46984,5183821,SAS AEROPORT DE CORNOUAIL,FRA
46985,5183822,SAS AEROPORT DE CAEN NORM,FRA
46986,5183823,SAS AEROPORT AVIGNON PROV,FRA
46988,5183826,SARL T2M HOLDING,FRA
46994,5183838,SANGUINET SA,FRA
47013,5183857,SAINT GOBAIN,FRA
47016,5183860,SAFT,FRA
47017,5183861,SAFRAM FRANCE,FRA
47027,5183874,SA SCAPARTOIS,FRA
47028,5183875,SA ORECO,FRA
47029,5183877,SA MURATA INTEGRATED PASS,FRA
47030,5183878,SA LINDER ETABLISSEMENTS,FRA
47031,5183881,SA AEROPORT INTERNATIONAL,FRA
47032,5183882,SA AEROPORT DE LA REUNION,FRA
47038,5183890,RYB INDEX,FRA
47045,5183898,RTE RESEAU DE TRANSPORT D,FRA
47046,5183899,RTE RESEAU DE TRANSPORT D,FRA
47047,5183900,RTE RACCORDEMENT EFGL,FRA
47070,5183925,ROANNAIS AGGLOMERATION,FRA
47080,5183937,RICHEL GROUP,FRA
47090,5183947,REXOR,FRA
47102,5183959,REIMS AEROSPACE,FRA
47104,5183963,REGIE D EXPLOITATION DE,FRA
47116,5183976,RECUPERATION JOSEPH SABAT,FRA
47122,5183982,RAZEL BEC,FRA
47144,5184012,PVL HOLDING,FRA
47159,5184027,PROVA,FRA
47253,5184132,PIECES AUTO MOENE,FRA
47254,5184133,PICOT,FRA
47257,5184138,PHIXEN,FRA
47262,5184143,PHARMAOUEST INDUSTRIES,FRA
47307,5184196,PASTACORP,FRA
47335,5184226,"PAPETERIE, DU POITOU",FRA
47359,5184253,OXYMETAL,FRA
47403,5184303,OMEGA SYSTEMES ATLANTIQUE,FRA
47404,5184304,OMEGA SYSTEMES AQUITAINE,FRA
47412,5184312,OFFICE DE TOURISME,FRA
47414,5184317,OCVIA,FRA
47431,5184335,NUTRISENS SAS,FRA
47469,5184378,NIPRO PHARMAPACKAGING FRA,FRA
47488,5184400,NEWVALVES SAS,FRA
47518,5184431,NEOTISS,FRA
47519,5184432,NEOEN,FRA
47531,5184444,NATURE ENERGY FRANCE SAS,FRA
47543,5184457,NANTES NORD DISTRIBUTION,FRA
47554,5184469,MUTATEC,FRA
47586,5184504,MONNOYEUR SAS,FRA
47598,5184517,MOBIVIA,FRA
47683,5184613,MAURY IMPRIMEUR SA,FRA
47705,5184636,MARSAUDON COMPOSITES,FRA
47786,5184722,LVMH-MOET-HENNESSY-LOUISV,FRA
47852,5184798,LES GRANDS CHAIS DE FRANC,FRA
47862,5184812,LELY ENVIRONNEMENT,FRA
47884,5184837,LATECOERE,FRA
47901,5184860,LA POSTE,FRA
47930,5184893,KP1,FRA
47948,5184914,KLEPIERRE SA,FRA
47988,5184959,KEON,FRA
48095,5185079,JEAN MATHIEU,FRA
48103,5185089,JALLATTE SAS,FRA
48160,5185152,INSTITUT DON BOSCO,FRA
48178,5185171,INFINIMETAL,FRA
48188,5185183,IMPERIALES WHEELS,FRA
48225,5185225,HUILERIE EMILE NOEL,FRA
48234,5185237,HPI,FRA
48292,5185299,HOM & TER DEVELOPPEMENT,FRA
48318,5185329,HERTA FOOD SL,FRA
48350,5185368,HCO FRANCE,FRA
48379,5185398,GXO SUPPLY CHAIN FRANCE,FRA
