,Ref_x,Subject,Locale_processed
27533,5075695,BayWa Aktiengesellschaft,DEU
27534,5075696,Bayerische Motoren Werke,DEU
27541,5075713,ALLIANZ,DEU
27542,5075714,ALLIANZ,DEU
28568,5077576,ALLIANZ,DEU
28667,5077733,Project Touchdown,DEU
28842,5077913,Project Ocean 1,DEU
33176,5104058,WINTERSHALL DEA AG,DEU
33343,5104325,SCUR ALPHA 1497 BIS GMBH,DEU
33612,5104729,LINDENTOR 1081 VV GMBH,DEU
33674,5104831,INTREAL INTERNATIONAL REAL ESTATE KAPITALVERWALTUNGSGESELLSCHAFT MBH,DEU
33755,5104953,GRACE BIDCO GMBH,DEU
33756,5104954,GRACE BIDCO GMBH,DEU
33763,5104962,GOLF BIDCO GMBH,DEU
33787,5104996,GENUI II GMBH & CO KG,DEU
33884,5105131,E ON BETEILIGUNGEN GMBH,DEU
33885,5105132,E ON BETEILIGUNGEN GMBH,DEU
33929,5105204,CONSTELLATION BIDCO GMBH,DEU
33930,5105205,CONSTELLATION BIDCO GMBH,DEU
33931,5105206,CONSTELLATION BIDCO GMBH,DEU
34014,5105343,BMA BRAUNSCHWEIGISCHE MASCHINENBAUANSTALT AG,DEU
34145,5105518,ALLIANZ,DEU
34146,5105519,ALLIANZ,DEU
34197,5105611,Zarges GmbH,DEU
34213,5105633,Witte Automotive GmbH,DEU
34214,5105634,Winkelmann Group Gmbh & Co. Kg,DEU
34218,5105639,Westfalia-Automotive GmbH,DEU
34227,5105652,Vorwerk SE & Co. KG,DEU
34228,5105653,Vorwerk SE & Co. KG,DEU
34231,5105661,VIEGA GMBH & CO. KG,DEU
34232,5105662,VIEGA GMBH & CO. KG,DEU
34256,5105701,Trianel Gaskraftwerk Hamm GmbH & Co. KG,DEU
34266,5105722,Thomas Magnete GmbH,DEU
34291,5105761,Swiss Steel Deutschland GmbH,DEU
34295,5105773,Süddeutsche Gelenkscheibenfabrik GmbH & Co. KG,DEU
34298,5105777,Stoba Holding GmbH & Co. KG,DEU
34303,5105783,Stadler Deutschland GmbH,DEU
34318,5105814,Simon Hegele Gesellschaft für Logistik  und Service mbH,DEU
34326,5105830,SGL Carbon SE,DEU
34331,5105846,SCHWENK ZEMENT GMBH & CO. KG,DEU
34351,5105874,RSH Deutschland GmbH,DEU
34352,5105875,RSH Deutschland GmbH,DEU
34354,5105880,Rosenberger Hochfrequenztechnik GmbH & Co.KG,DEU
34355,5105882,Roechling Kunststofftechnik Se & Co. Kg (previous Name: Roechling Kg),DEU
34357,5105889,Ritz Verwaltungsgesellschaft mbH,DEU
34373,5105919,Pump Technology Solutions Ps Gmbh,DEU
34383,5105931,Primepulse SE,DEU
34388,5105939,Poppe + Potthoff GmbH,DEU
34389,5105940,Poppe + Potthoff GmbH,DEU
34392,5105946,PHOENIX CONTACT GmbH & Co. KG,DEU
34437,5106015,Nidec Motors & Actuators (Germany) GmbH,DEU
34446,5106031,Neapco Europe GmbH,DEU
34450,5106043,Musashi Europe GmbH,DEU
34461,5106060,Mitsui Rail Capital Europe GmbH,DEU
34467,5106069,Meyer & Meyer Logistikzentrum Osnabrück GmbH & Co. KG,DEU
34482,5106097,Maurer SE,DEU
34521,5106156,Kuester Holding Gesellschaft Mit Beschraenkter Haftung,DEU
34525,5106160,Kirchhoff Automotive Gmbh,DEU
34556,5106220,Huf Baolong Electronics Bretten Gmbh,DEU
34564,5106236,HENKEL AG & CO KGAA,DEU
34565,5106237,HENKEL AG & CO KGAA,DEU
34566,5106238,Hengst Se,DEU
34567,5106240,Hellmann Worldwide Logistics SE & Co. KG,DEU
34568,5106241,Hellmann Worldwide Logistics SE & Co. KG,DEU
34605,5106297,Gebr. Brasseler GmbH & Co. KG,DEU
34610,5106303,Fritz Dräxlmaier GmbH & Co. KG,DEU
34616,5106312,Fondium B.V. & Co. KG,DEU
34622,5106320,Fiege Logistik Stiftung & Co. Kg,DEU
34623,5106321,Fiege Logistik Stiftung & Co. Kg,DEU
34624,5106322,Fiege Logistik Stiftung & Co. Kg,DEU
34635,5106337,Eurobahn GmbH & Co. KG,DEU
34637,5106339,Etzel-Kavernenbetriebsgesellschaft mbH & Co KG,DEU
34645,5106355,EEW Holding GmbH & Co. KG,DEU
34658,5106378,Deka Immobilien Investment GmbH,DEU
34706,5106471,CATENSYS GERMANY GMBH,DEU
34723,5106500,Brose Sitech GmbH,DEU
34747,5106557,Aunde Group Se,DEU
34748,5106560,ATMIRA PROJEKT 42 GMBH,DEU
34749,5106561,ATMIRA PROJEKT 42 GMBH,DEU
34768,5106600,Albert Handtmann Holding GmbH & Co. KG,DEU
34775,5106610,Accuride Wheels Europe & Asia GmbH,DEU
34783,5106619,A. Kayser Automotive Systems GmbH,DEU
34807,5106646,Quintance,DEU
34811,5106650,Project Tour (Tier Operations Germany AG & Co KG),DEU
34820,5106659,Project Salsa (DB Holding 1 S.à r.l.),DEU
34827,5106666,Project Pure (Solenis Germany GmbH & Co. KG),DEU
34863,5106705,Project Edinburgh (Thomas BidCo S.à r.l.),DEU
34901,5106743,HR Online GmbH,DEU
34904,5106746,H26,DEU
34944,5106789,Quintance,DEU
34948,5106793,Project Tour (Tier Operations Germany AG & Co KG),DEU
34957,5106802,Project Salsa (DB Holding 1 S.à r.l.),DEU
34964,5106809,Project Pure (Solenis Germany GmbH & Co. KG),DEU
35000,5106848,Project Edinburgh (Thomas BidCo S.à r.l.),DEU
35034,5106886,HR Online GmbH,DEU
35037,5106889,H26,DEU
35660,5108053,ALLIANZ,DEU
35661,5108054,ALLIANZ,DEU
35728,5108162,TELELIFT GMBH,DEU
37230,5110337,WÜSTENROT & WÜRTTEMBERGISCHE AG,DEU
37232,5110339,VTG Aktiengesellschaft,DEU
37272,5110427,Verbatim GmbH,DEU
37330,5110540,ULRICH GMBH,DEU
37337,5110557,TUV Nord AG,DEU
37497,5110887,Stadtwerke Köln GMBH,DEU
37501,5110892,STADT & KREISSPARKASSE LEIPZIG,DEU
37502,5110893,STADA ARZNEIMITTEL AG,DEU
37603,5111083,Schöffel GmbH & Co. KG,DEU
37635,5111137,Sanofi-Aventis Deutschland Gmb H,DEU
